<INFO> financialDB_operations_logger [2022-02-04 15:59:14,145]: Trade Creditors data for 2021 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:14,254]: Sales data for 2021 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:14,365]: Cash and Cash Equivalent data for 2021 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:14,476]: Free Cash Flow data for 2021 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:14,586]: Net Cash Flow from Financing data for 2021 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:14,705]: Net Cash Flow from Investing data for 2021 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:14,826]: Net Cash Flow from Operations data for 2021 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:14,938]: Current Assets data for 2021 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:15,048]: Current Liabilities data for 2021 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:15,159]: Fixed Assets data for 2021 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:15,253]: Intangible Assets data for 2021 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:15,389]: Shareholders Equity data for 2021 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:15,489]: Stock Inventory data for 2021 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:15,587]: Total Assets data for 2021 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:15,684]: Total Debt data for 2021 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:15,785]: Total Liabilities data for 2021 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:15,928]: Amortization data for 2021 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:16,026]: Cost of Goods Sold data for 2021 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:16,125]: Depreciation data for 2021 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:16,222]: Interest Expense data for 2021 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:16,323]: Net Income data for 2021 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:16,432]: Operating Expense data for 2021 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:16,531]: Operating Profit data for 2021 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:16,633]: Revenue data for 2021 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:16,729]: Total Expenses data for 2021 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:16,838]: Gross Dividend Payout per Share data for 2020 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:16,937]: Outstanding Shares data for 2020 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:17,067]: Share Unit Price data for 2020 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:17,180]: Trade Debtors data for 2020 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:17,309]: Trade Creditors data for 2020 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:17,432]: Sales data for 2020 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:17,544]: Cash and Cash Equivalent data for 2020 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:17,654]: Free Cash Flow data for 2020 not found, inserting data as new entry
